Property_ID,Entity_Type,Parcel_ID,Building_ID,Floor,Unit,Z_Min_m,Z_Max_m,Height_m,Area_m2,Volume_m3,Centroid_Lon,Centroid_Lat,Validation_Status,Geometry_Hash
P001-B01-F01-U101,residential_unit,P001,B01,F01,U101,15.0,18.0,3.0,88.9,266.71,80.2123303,13.1181522,VALIDATED,40b780f9f1375afe
P001-B01-F01-U102,residential_unit,P001,B01,F01,U102,15.0,18.0,3.0,87.07,261.21,80.2124033,13.1181527,VALIDATED,10fd16a3d0b03d7e
P001-B01-F01-U103,residential_unit,P001,B01,F01,U103,15.0,18.0,3.0,87.71,263.14,80.2123319,13.1180514,VALIDATED,7da49cddf923efbc
P001-B01-F01-U104,residential_unit,P001,B01,F01,U104,15.0,18.0,3.0,91.27,273.8,80.212405,13.1180508,VALIDATED,3b085f9076f6a155
P001-B01-F02-U201,residential_unit,P001,B01,F02,U201,18.0,21.0,3.0,88.9,266.71,80.2123303,13.1181522,VALIDATED,da159fb060be932c
P001-B01-F02-U202,residential_unit,P001,B01,F02,U202,18.0,21.0,3.0,87.07,261.21,80.2124033,13.1181527,VALIDATED,1389722a04403bbd
P001-B01-F02-U203,residential_unit,P001,B01,F02,U203,18.0,21.0,3.0,87.71,263.14,80.2123319,13.1180514,VALIDATED,bdaf68f867b26ae6
P001-B01-F02-U204,residential_unit,P001,B01,F02,U204,18.0,21.0,3.0,91.27,273.8,80.212405,13.1180508,VALIDATED,a62fbb81b3e313f2
P001-B01-F03-U301,residential_unit,P001,B01,F03,U301,21.0,24.0,3.0,88.9,266.71,80.2123303,13.1181522,VALIDATED,476ad6338b753863
P001-B01-F03-U302,residential_unit,P001,B01,F03,U302,21.0,24.0,3.0,87.07,261.21,80.2124033,13.1181527,VALIDATED,140c85e1b82c4710
P001-B01-F03-U303,residential_unit,P001,B01,F03,U303,21.0,24.0,3.0,87.71,263.14,80.2123319,13.1180514,VALIDATED,b9da8cdb55eccc9f
P001-B01-F03-U304,residential_unit,P001,B01,F03,U304,21.0,24.0,3.0,91.27,273.8,80.212405,13.1180508,VALIDATED,a61508877c15d2f4
P001-B01-F04-U401,residential_unit,P001,B01,F04,U401,24.0,27.0,3.0,88.9,266.71,80.2123303,13.1181522,VALIDATED,6d5a0ab48b747ce7
P001-B01-F04-U402,residential_unit,P001,B01,F04,U402,24.0,27.0,3.0,87.07,261.21,80.2124033,13.1181527,VALIDATED,a126f8f70de900e2
P001-B01-F04-U403,residential_unit,P001,B01,F04,U403,24.0,27.0,3.0,87.71,263.14,80.2123319,13.1180514,VALIDATED,4bd1132431948f72
P001-B01-F04-U404,residential_unit,P001,B01,F04,U404,24.0,27.0,3.0,91.27,273.8,80.212405,13.1180508,VALIDATED,036b37ecd4278a23
P001-UG-B01,basement_service_volume,P001,B01,N/A,UG-B01,12.0,15.0,3.0,249.18,747.55,80.2123678,13.1181013,VALIDATED,c6745733b9bec728
P001-UG-C01,utility_corridor,P001,N/A,N/A,UG-C01,12.0,13.0,1.0,82.88,82.88,80.2124711,13.1181025,VALIDATED,89fa0dd5584fdbbd
P001-UG-W01,water_sewer_conduit,P001,N/A,N/A,UG-W01,10.5,11.5,1.0,37.97,37.97,80.2123772,13.1179817,VALIDATED,77371f099321722f
P001-AS-B01,airspace_spatial_right,P001,B01,N/A,AS-B01,27.0,32.0,5.0,354.95,1774.76,80.2123678,13.1181013,VALIDATED,f4c217f3f93f2d2a
